Time,I,Q
12-54-10.137,6057,13007
12-54-10.152,6254,12931
12-54-10.168,6170,12961
12-54-10.180,6169,12947
12-54-10.242,6165,12937
12-54-10.305,6149,12965
12-54-10.313,6072,12980
12-54-10.496,6014,13013
12-54-10.555,6020,13016
12-54-10.621,6012,13012
12-54-10.680,6009,13014
12-54-10.742,6031,13009
12-54-10.809,6025,13005
12-54-10.867,6032,13000
12-54-10.934,6066,12987
12-54-10.992,6099,12983
12-54-11.055,6089,12985
12-54-11.121,6073,12983
12-54-11.180,6066,12975
12-54-11.242,6082,12968
12-54-11.309,6106,12959
12-54-11.367,6134,12952
12-54-11.465,6141,12960
12-54-11.496,6115,12981
12-54-11.559,6090,13024
12-54-11.621,6034,13006
12-54-11.680,6170,12933
12-54-11.742,6203,12941
12-54-11.809,6240,12954
12-54-11.867,6312,12917
12-54-11.930,6296,12917
12-54-11.992,6229,12938
12-54-12.055,6163,12974
12-54-12.117,6152,12972
12-54-12.180,6186,12948
12-54-12.238,6193,12938
12-54-12.305,6173,12944
12-54-12.309,6149,12946
12-54-12.473,6149,12958
12-54-12.488,6036,12989
12-54-12.551,6042,13019
12-54-12.613,6058,13000
12-54-12.676,6055,12993
12-54-12.738,6049,12994
12-54-12.801,6049,12998
12-54-12.863,6054,12998
12-54-12.930,6060,13004
12-54-12.992,6070,13000
12-54-13.051,6058,13005
12-54-13.117,6044,13004
12-54-13.180,6036,13006
12-54-13.238,6055,12997
12-54-13.305,6091,12969
12-54-13.367,6137,12954
12-54-13.461,6115,12971
12-54-13.492,6059,13004
12-54-13.555,6050,13021
12-54-13.621,6008,13047
12-54-13.680,6101,12994
12-54-13.742,6151,12970
12-54-13.805,6147,12975
12-54-13.867,6189,12967
12-54-13.930,6234,12949
12-54-13.992,6228,12940
12-54-14.055,6178,12958
12-54-14.117,6175,12956
12-54-14.180,6169,12943
12-54-14.238,6166,12933
12-54-14.305,6149,12932
12-54-14.461,6093,12959
12-54-14.488,6029,13017
12-54-14.551,6045,12999
12-54-14.617,6053,12994
12-54-14.680,6051,13001
12-54-14.738,6054,12999
12-54-14.805,6063,12997
12-54-14.863,6057,12998
12-54-14.930,6064,13001
12-54-14.988,6099,12991
12-54-15.051,6097,12993
12-54-15.117,6116,12976
12-54-15.176,6104,12979
12-54-15.238,6112,12967
12-54-15.305,6133,12958
12-54-15.363,6167,12935
12-54-15.461,6163,12933
12-54-15.488,6145,12950
12-54-15.551,6123,12970
12-54-15.617,5986,13046
12-54-15.676,6087,12979
12-54-15.738,6066,13002
12-54-15.801,6143,12966
12-54-15.863,6148,12966
12-54-15.930,6233,12924
12-54-15.992,6256,12923
12-54-16.051,6165,12965
12-54-16.113,6128,12972
12-54-16.176,6114,12971
12-54-16.234,6118,12960
12-54-16.297,6090,12965
12-54-16.457,5997,13033
12-54-16.484,6004,13027
12-54-16.547,6009,13018
12-54-16.609,6007,13020
12-54-16.672,5994,13024
12-54-16.734,5986,13025
12-54-16.801,5996,13017
12-54-16.859,5997,13025
12-54-16.926,6009,13017
12-54-16.984,6015,13017
12-54-17.047,6017,13023
12-54-17.113,6023,13023
12-54-17.176,6023,13022
12-54-17.234,6007,13028
12-54-17.301,5989,13033
12-54-17.359,5987,13019
12-54-17.457,6024,13007
12-54-17.488,6051,12991
12-54-17.547,6084,12973
12-54-17.613,6097,12975
12-54-17.672,6046,13015
12-54-17.734,6023,13031
12-54-17.801,6095,12955
12-54-17.859,6073,12994
12-54-17.926,6080,12999
12-54-17.984,6162,12951
12-54-18.047,6293,12884
12-54-18.113,6301,12884
12-54-18.273,6258,12897
12-54-18.277,6210,12916
12-54-18.297,6208,12914
12-54-18.484,6147,12927
12-54-18.547,6081,12970
12-54-18.609,6064,12973
12-54-18.672,6073,12965
12-54-18.730,6097,12949
12-54-18.793,6108,12940
12-54-18.855,6092,12945
12-54-18.922,6093,12952
12-54-18.984,6104,12954
12-54-19.043,6131,12947
12-54-19.109,6153,12944
12-54-19.168,6148,12944
12-54-19.230,6116,12953
12-54-19.293,6107,12945
12-54-19.355,6138,12924
12-54-19.480,6150,12942
12-54-19.637,6117,12958
12-54-19.668,6053,13015
12-54-19.727,6238,12939
12-54-19.793,6191,12938
12-54-19.855,6292,12907
12-54-19.922,6377,12843
12-54-19.980,6394,12854
12-54-20.043,6383,12867
12-54-20.105,6321,12883
12-54-20.168,6289,12901
12-54-20.230,6259,12907
12-54-20.293,6226,12913
12-54-20.465,6157,12921
12-54-20.480,6136,12929
12-54-20.543,6103,12944
12-54-20.609,6087,12973
12-54-20.668,6098,12972
12-54-20.730,6084,12974
12-54-20.793,6088,12970
12-54-20.863,6079,12972
12-54-20.914,6074,12980
12-54-20.980,6076,12983
12-54-21.039,6088,12979
12-54-21.105,6084,12975
12-54-21.168,6075,12979
12-54-21.227,6073,12976
12-54-21.293,6083,12962
12-54-21.355,6111,12943
12-54-21.480,6185,12919
12-54-21.539,6159,12956
12-54-21.605,6102,12986
12-54-21.664,6074,12989
12-54-21.727,6119,12972
12-54-21.793,6209,12934
12-54-21.852,6214,12949
12-54-21.914,6262,12938
12-54-21.977,6280,12934
12-54-22.039,6241,12942
12-54-22.102,6151,12957
12-54-22.164,6143,12953
12-54-22.223,6173,12929
12-54-22.289,6187,12918
12-54-22.461,6158,12919
12-54-22.477,6165,12905
12-54-22.535,6098,12929
12-54-22.602,6081,12976
12-54-22.660,6089,12965
12-54-22.723,6103,12957
12-54-22.785,6090,12953
12-54-22.848,6084,12964
12-54-22.910,6105,12951
12-54-22.973,6129,12942
12-54-23.035,6133,12939
12-54-23.098,6136,12938
12-54-23.160,6130,12936
12-54-23.234,6120,12937
12-54-23.285,6131,12934
12-54-23.344,6165,12914
12-54-23.457,6188,12892
12-54-23.469,6226,12881
12-54-23.531,6237,12893
12-54-23.598,6221,12916
12-54-23.660,6145,12898
12-54-23.719,6203,12928
12-54-23.797,6199,12932
12-54-23.855,6240,12939
12-54-23.922,6253,12941
12-54-23.984,6263,12928
